filename,date,decade,author,title,gender,gender_code,person,length,id,language
"EN_1771_Mackenzie,Henry_TheManofFeeling_Novel.txt",1771,1770,"Mackenzie,Henry",TheManofFeeling,male,M,first,36458,151,English
"EN_1771_Smollett,Tobias_TheExpedictionofHenryClinker_Novel.txt",1771,1770,"Smollett,Tobias",TheExpedictionofHenryClinker,male,M,first,148261,152,English
"EN_1778_Burney,Fanny_Evelina_Novel.txt",1778,1770,"Burney,Fanny",Evelina,female,F,first,154168,153,English
"EN_1782_Burney,Fanny_Cecilia_Novel.txt",1782,1780,"Burney,Fanny",Cecilia,female,F,third,328981,154,English
"EN_1786_Beckford,William_Vathek_Novel.txt",1786,1780,"Beckford,William",Vathek,male,M,third,36077,155,English
"EN_1788_Wollstonecraft,Mary_Mary_Novel.txt",1788,1780,"Wollstonecraft,Mary",Mary,female,F,third,23275,156,English
"EN_1790_Radcliffe,Ann_ASicilianRomance_Novel.txt",1790,1790,"Radcliffe,Ann",ASicilianRomance,female,F,third,67455,157,English
"EN_1794_Rowson,Susanna_CharlotteTemple_Novel.txt",1794,1790,"Rowson,Susanna",CharlotteTemple,female,F,third,36551,160,English
"EN_1794_Radcliffe,Ann_TheMysteriesofUdolpho_Novel.txt",1794,1790,"Radcliffe,Ann",TheMysteriesofUdolpho,female,F,third,290334,159,English
"EN_1794_Godwin,William_CalebWilliams_Novel.txt",1794,1790,"Godwin,William",CalebWilliams,male,M,first,143832,158,English
"EN_1795_Lewis,Matthew_TheMonk_Novel.txt",1795,1790,"Lewis,Matthew",TheMonk,male,M,third,136957,161,English
"EN_1796_Bonhote,Elizabeth_BungayCastle_Novel.txt",1796,1790,"Bonhote,Elizabeth",BungayCastle,female,F,third,86392,162,English
"EN_1796_Burney,Fanny_Camilla_Novel.txt",1796,1790,"Burney,Fanny",Camilla,female,F,third,356088,163,English
"EN_1796_Hays,Mary_EmmaCourtney_Novel.txt",1796,1790,"Hays,Mary",EmmaCourtney,female,F,first,62704,164,English
"EN_1797_Foster,HannahWebster_TheCoquette_Novel.txt",1797,1790,"Foster,HannahWebster",TheCoquette,female,F,first,52925,165,English
"EN_1798_Brown,CharlesBrockden_Wieland_Novel.txt",1798,1790,"Brown,CharlesBrockden",Wieland,male,M,first,82291,166,English
"EN_1798_Wollstonecraft,Mary_Maria_Novel.txt",1798,1790,"Wollstonecraft,Mary",Maria,female,F,third,44506,167,English
"EN_1799_Brown,CharlesBrockden_ArthurMervyn_Novel.txt",1799,1790,"Brown,CharlesBrockden",ArthurMervyn,male,M,first,148810,168,English
"EN_1800_Edgeworth,Maria_CastleRackrent_Novel.txt",1800,1800,"Edgeworth,Maria",CastleRackrent,female,F,first,35578,169,English
"EN_1801_Edgeworth,Maria_Belinda_Novel.txt",1801,1800,"Edgeworth,Maria",Belinda,female,F,third,177692,170,English
