period,topic_id,mean_prevalence,std,n_novels
Georgian,1,0.15157746385666468,0.15540226223575368,41
Georgian,2,0.07236182050716351,0.08522979586758862,41
Georgian,3,0.18796231657300388,0.17531901500133742,41
Georgian,4,0.020609474513405147,0.036571212642313645,41
Georgian,5,0.3518372433590862,0.21484974052462202,41
Georgian,6,0.18080443692425563,0.17413800513412026,41
Georgian,7,0.03484724426642075,0.04433800391752431,41
EarlyVictorian,1,0.1983742861827819,0.1635300978924617,40
EarlyVictorian,2,0.12702702075660427,0.11300418768318661,40
EarlyVictorian,3,0.09540067489329299,0.07343528143894874,40
EarlyVictorian,4,0.11159739276379774,0.1287103797046239,40
EarlyVictorian,5,0.09304517391349172,0.07731674868924437,40
EarlyVictorian,6,0.1301697708868208,0.12711437203721104,40
EarlyVictorian,7,0.24438568060321048,0.1442144133412085,40
LateVictorian,1,0.1235494420808936,0.11988642486663466,36
LateVictorian,2,0.22777286049962228,0.20428964422234475,36
LateVictorian,3,0.06072055937862944,0.04016076141290212,36
LateVictorian,4,0.18959392637149242,0.14424827242831784,36
LateVictorian,5,0.050027469890936184,0.040014934653714536,36
LateVictorian,6,0.09963596939338601,0.09773478429516486,36
LateVictorian,7,0.24869977238503996,0.15396396709245233,36
Edwardian,1,0.09690856923312036,0.09061391180598127,18
Edwardian,2,0.22629692931535217,0.237473237693973,18
Edwardian,3,0.04957446360425728,0.03495007221928273,18
Edwardian,4,0.2745029043844234,0.16413794523702488,18
Edwardian,5,0.0339363323804284,0.029084095176238507,18
Edwardian,6,0.08722002587735103,0.09449114758019954,18
Edwardian,7,0.2315607752050673,0.13910086785185252,18
EarlyModernist,1,0.07716739452944497,0.0694646840303533,15
EarlyModernist,2,0.2220231989139683,0.1484310633801308,15
EarlyModernist,3,0.03579298167591828,0.02333403713228824,15
EarlyModernist,4,0.3718091909598517,0.1715440006609651,15
EarlyModernist,5,0.01987823226059095,0.015354660344566253,15
EarlyModernist,6,0.09111914736384003,0.06902508026769387,15
EarlyModernist,7,0.18220985429638567,0.10350415473919518,15
