period,topic_id,mean_prevalence,ci_lower,ci_upper,n_novels
Georgian,1,0.15157746385666468,0.10636436212346921,0.20211570639883095,41
Georgian,2,0.07236182050716351,0.04827252984874788,0.10019907636772132,41
Georgian,3,0.18796231657300388,0.137343555073875,0.243060141623798,41
Georgian,4,0.020609474513405147,0.011477489765376492,0.03379954301987289,41
Georgian,5,0.3518372433590862,0.2893461460492466,0.416459682132615,41
Georgian,6,0.18080443692425563,0.13056040709501285,0.23322187862317217,41
Georgian,7,0.03484724426642075,0.022697876546135417,0.049211297109004806,41
EarlyVictorian,1,0.1983742861827819,0.1509429066090745,0.25141922839119396,40
EarlyVictorian,2,0.12702702075660427,0.09621995133793393,0.164726036832926,40
EarlyVictorian,3,0.09540067489329299,0.07362530137552813,0.11890226449697285,40
EarlyVictorian,4,0.11159739276379774,0.072618322703245,0.1537585077597378,40
EarlyVictorian,5,0.09304517391349172,0.07107838962970227,0.11873528434068731,40
EarlyVictorian,6,0.1301697708868208,0.09299169797497134,0.1711706844953313,40
EarlyVictorian,7,0.24438568060321048,0.20088913445951842,0.2889673716700874,40
LateVictorian,1,0.1235494420808936,0.0868650426556216,0.16888492237611943,36
LateVictorian,2,0.22777286049962228,0.164815632723376,0.2981450586293867,36
LateVictorian,3,0.06072055937862944,0.048536777279997494,0.07469697721430565,36
LateVictorian,4,0.18959392637149242,0.14567427532878344,0.2403845586206267,36
LateVictorian,5,0.050027469890936184,0.03744653796450944,0.06268799708552032,36
LateVictorian,6,0.09963596939338601,0.07278263789379166,0.13639186795949987,36
LateVictorian,7,0.24869977238503996,0.19679889667663056,0.2995903965971419,36
Edwardian,1,0.09690856923312036,0.05659000977416851,0.13923325021579,18
Edwardian,2,0.22629692931535217,0.12669918548267897,0.34268943312710454,18
Edwardian,3,0.04957446360425728,0.033833812167388386,0.06687526608601133,18
Edwardian,4,0.2745029043844234,0.20152730240929945,0.3494141987156468,18
Edwardian,5,0.0339363323804284,0.021979796696801203,0.04864771132307701,18
Edwardian,6,0.08722002587735103,0.04909708835853963,0.13434190305528707,18
Edwardian,7,0.2315607752050673,0.1677700312246211,0.2963560850663528,18
EarlyModernist,1,0.07716739452944497,0.04701576349214349,0.11708062556019257,15
EarlyModernist,2,0.2220231989139683,0.14739656872504517,0.29853988713448687,15
EarlyModernist,3,0.03579298167591828,0.024949354260877923,0.048092754272016085,15
EarlyModernist,4,0.3718091909598517,0.2856672242470572,0.4577090707423184,15
EarlyModernist,5,0.01987823226059095,0.012808170015460044,0.02786718289774573,15
EarlyModernist,6,0.09111914736384003,0.05765796532297445,0.1271338268424434,15
EarlyModernist,7,0.18220985429638567,0.13141984116662886,0.2350106835545356,15
